open_time,open,high,low,close,volume,amount,close_time
1714347900000,62930.0100000000000000000000000000,63108.8000000000000000000000000000,62891.1100000000000000000000000000,63108.8000000000000000000000000000,9.16695100,577353.420000000000000000,1714348200000
1714348200000,63108.8000000000000000000000000000,63148.2000000000000000000000000000,63024.8700000000000000000000000000,63066.0000000000000000000000000000,9.39718300,592615.030000000000000000,1714348500000
1714348500000,63066.0000000000000000000000000000,63164.7000000000000000000000000000,63064.7600000000000000000000000000,63118.6300000000000000000000000000,9.45603000,596880.090000000000000000,1714348800000
1714348800000,63118.6300000000000000000000000000,63154.1000000000000000000000000000,63004.1300000000000000000000000000,63144.4200000000000000000000000000,13.11381500,827466.990000000000000000,1714349100000
1714349100000,63144.4200000000000000000000000000,63254.4600000000000000000000000000,63144.4200000000000000000000000000,63251.9900000000000000000000000000,10.22973000,646659.960000000000000000,1714349400000
1714349400000,63251.9900000000000000000000000000,63304.7600000000000000000000000000,63225.9900000000000000000000000000,63304.7600000000000000000000000000,10.96776600,693671.910000000000000000,1714349700000
1714349700000,63304.7600000000000000000000000000,63321.9000000000000000000000000000,63226.0200000000000000000000000000,63289.9900000000000000000000000000,5.98324000,378554.200000000000000000,1714350000000
1714350000000,63289.9900000000000000000000000000,63290.0000000000000000000000000000,63222.0100000000000000000000000000,63243.5900000000000000000000000000,4.95608300,313423.210000000000000000,1714350300000
1714350300000,63243.5900000000000000000000000000,63251.5900000000000000000000000000,63194.8700000000000000000000000000,63217.9900000000000000000000000000,4.14260100,261922.660000000000000000,1714350600000
1714350600000,63217.9900000000000000000000000000,63251.6000000000000000000000000000,63160.3400000000000000000000000000,63248.0000000000000000000000000000,4.99849700,315930.770000000000000000,1714350900000
1714350900000,63248.0000000000000000000000000000,63251.9900000000000000000000000000,63173.0000000000000000000000000000,63200.0100000000000000000000000000,3.38062500,213678.810000000000000000,1714351200000
1714351200000,63200.0100000000000000000000000000,63220.0000000000000000000000000000,63187.5000000000000000000000000000,63217.9900000000000000000000000000,2.65804500,167988.790000000000000000,1714351500000
1714351500000,63217.9900000000000000000000000000,63295.1300000000000000000000000000,63217.9900000000000000000000000000,63284.0100000000000000000000000000,2.95971200,187266.930000000000000000,1714351800000
1714351800000,63284.0100000000000000000000000000,63284.0100000000000000000000000000,63220.0100000000000000000000000000,63260.6500000000000000000000000000,6.82940800,431961.810000000000000000,1714352100000
1714352100000,63260.6500000000000000000000000000,63264.0300000000000000000000000000,63242.4400000000000000000000000000,63257.4300000000000000000000000000,3.79640000,240136.610000000000000000,1714352400000
1714352400000,63257.4300000000000000000000000000,63286.2700000000000000000000000000,63131.5800000000000000000000000000,63217.8300000000000000000000000000,6.34045500,400771.820000000000000000,1714352700000
